id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date
3051,272000,4,1.75,2520,10890,1,0,0,3,7,1260,1260,1979,0,98023,47.3224,-122.343,2090,12375,245
662,269900,3,1.75,1140,22267,1,0,0,3,7,1140,0,1986,0,98045,47.4761,-121.758,1150,15625,325
909,255000,3,1.75,1410,9315,1,0,0,5,7,1410,0,1960,0,98031,47.3969,-122.198,1630,8250,160
1974,780000,4,2.25,2260,16188,1,0,0,3,10,2260,0,1984,0,98006,47.5637,-122.112,2840,10158,327
12068,697000,4,1.75,1670,13125,1,0,0,5,8,1670,0,1973,0,98052,47.6315,-122.101,2360,12500,361
20057,353000,4,2.5,2210,13721,2,0,0,3,8,2210,0,2009,0,98042,47.3122,-122.039,1850,12951,132
11786,240000,2,1.5,1670,9880,1,0,0,4,7,1670,0,1941,1963,98146,47.4864,-122.348,1670,9807,97
19910,1.26e+006,4,2.5,2880,9003,2,0,0,3,10,2880,0,2008,0,98033,47.6844,-122.199,2640,8126,91
4022,390000,2,1,980,3800,1,0,0,3,7,980,0,1926,0,98103,47.6903,-122.34,1520,5010,354
18579,240000,3,2.25,1410,7290,1,0,0,3,7,940,470,1980,0,98118,47.5396,-122.274,1550,7375,148
9285,305000,2,1,1000,8212,1,0,0,4,7,1000,0,1947,0,98133,47.7444,-122.341,1620,8214,209
21557,549000,3,2.25,1230,1380,3,0,0,3,8,1230,0,2013,0,98199,47.6521,-122.4,1760,5664,152
2598,1.065e+006,2,1.75,1890,9466,2,0,0,3,8,1890,0,1987,0,98004,47.6144,-122.211,2180,12825,19
3267,218000,3,2.25,1610,7084,1,0,0,4,8,1280,330,1968,0,98023,47.3146,-122.384,2170,8505,204
5436,665000,6,2.75,2840,8346,1,0,0,5,8,1420,1420,1961,0,98118,47.5518,-122.266,2250,8346,53
2442,520000,4,2.5,3060,7161,2,0,0,3,8,2860,200,2005,0,98065,47.5383,-121.879,2950,6822,290
14625,564800,3,2.25,1990,8501,2,0,0,3,8,1990,0,1991,0,98029,47.5707,-121.996,2090,6459,161
8703,249950,3,1.75,1120,15210,1,0,0,5,7,1120,0,1976,0,98042,47.3659,-122.113,1710,8470,281
